"","p.group","p.fwe.group","p.age","p.fwe.age","p.sex","p.fwe.sex","p.fd","p.fwe.fd"
"tdc.ia",0.206948010781002,0.620844032343007,0.403325964975656,1,0.057104651840273,0.171313955520819,0.333518470908349,1
"tdc.ii",4.60571167840598e-05,0.000138171350352179,0.644824341292051,1,0.0168245515996655,0.0504736547989965,0.495768317218756,1
"ii.ia",0.00707426469970647,0.0212227940991194,0.429136720306183,1,0.0777020092106061,0.233106027631818,0.243703177246337,0.73110953173901
"tdc.asc.whole",0.00486721813810275,NA,0.256073985933734,NA,0.0327552831260262,NA,0.190293595676104,NA
"ia1.ia0",0.949107065979463,1,0.448962850076787,1,0.367492924796479,1,0.379604668229611,1
"ia1.ii1",0.167514375572227,1,0.423817117710195,1,0.779331773149253,1,0.610923926439535,1
"ia1.ii0",0.0634927768433896,0.380956661060337,0.419295431321506,1,0.148464437787074,0.742322188935369,0.994119772563128,1
"ia0.ii1",0.10557818528414,0.633469111704839,0.841476750657077,1,0.341569015963057,1,0.162315947663897,0.973895685983381
"ia0.ii0",0.0295497547437008,0.177298528462205,0.841390095313225,1,0.0615956688622791,0.307978344311396,0.27748035474516,1
"ii1.ii",0.708602234826648,1,0.133366184738666,0.800197108431995,NA,NA,0.538633076460812,1
"adhd.noadhd",0.918886440787032,NA,0.208622740959062,NA,0.197980413893327,NA,0.219684556041197,NA
