"","p.group","p.fwe.group","p.age","p.fwe.age","p.sex","p.fwe.sex","p.fd","p.fwe.fd"
"tdc.ia",8.41830473479663e-05,0.000252549142043899,0.445643233606721,1,0.0294528291259647,0.088358487377894,0.388625763613878,1
"tdc.ii",2.53226283950036e-07,7.59678851850108e-07,0.598191292295901,1,0.0466171538911423,0.139851461673427,0.371134492541207,1
"ii.ia",0.00230816059527825,0.00692448178583474,0.501662858141474,1,0.0873035126358748,0.261910537907624,0.09736556283476,0.29209668850428
"tdc.asc.whole",3.29443865332975e-08,NA,0.286240608353779,NA,0.0351200351055825,NA,0.150779118283854,NA
"ia1.ia0",0.792526923474124,1,0.530013576590014,1,0.212084013101728,1,0.284645698292193,1
"ia1.ii1",0.0503618981501011,0.302171388900607,0.409852483343789,1,0.491112782115332,1,0.444188525303098,1
"ia1.ii0",0.0208299819666128,0.124979891799677,0.503898632481996,1,0.207805626349844,1,0.714147405011637,1
"ia0.ii1",0.108611369197115,0.651668215182687,0.925561521320665,1,0.326323630960146,1,0.0918460000477921,0.551076000286753
"ia0.ii0",0.0279617572537762,0.167770543522657,0.933208430219477,1,0.16433713396221,0.821685669811048,0.175523025109922,1
"ii1.ii",0.563412134343844,1,0.314139390034369,1,NA,NA,0.249210666168546,1
"adhd.noadhd",0.634298505551367,NA,0.249523509697443,NA,0.265570770277795,NA,0.101070110987936,NA
